seed	depth	tool	setting	truth_scope	scoring_unit	truth_gene	pred_gene	TP	FP	FN	precision	recall	F1	unmapped_tx	tied_best_tx
102	100x	TEProf2	simulation_dictionary_adapter	expressed_5prime_exon_TE	assigned_host_gene_name	15	14	7	7	8	0.5	0.4666666666666667	0.4827586206896552	NA	NA
103	5x	TEDDY	original	expressed_TE_chimeric	assigned_host_gene_name	118	77	75	2	43	0.974025974025974	0.635593220338983	0.7692307692307693	NA	NA
103	5x	Arriba	final+discarded;support>=1	expressed_TE_chimeric	assigned_host_gene_name	118	20	3	17	115	0.15	0.025423728813559324	0.043478260869565216	NA	NA
103	5x	ChimeraTE	overlap=0.10;fwd+rf_union;per_sample	expressed_TE_chimeric	assigned_host_gene_name	118	12	6	6	112	0.5	0.05084745762711865	0.09230769230769231	NA	NA
103	5x	FREDY	all_transcript_TE50_preCDS	expressed_TE50_unstranded	assigned_host_gene_name	157	289	152	137	5	0.5259515570934256	0.9681528662420382	0.6816143497757847	0	0
103	5x	LIONS	simuOptimal	expressed_5prime_exon_TE	assigned_host_gene_name	30	12	3	9	27	0.25	0.1	0.14285714285714285	NA	NA
103	5x	TEProf2	simulation_dictionary_adapter	expressed_5prime_exon_TE	assigned_host_gene_name	30	23	9	14	21	0.391304347826087	0.3	0.33962264150943394	NA	NA
103	10x	TEDDY	original	expressed_TE_chimeric	assigned_host_gene_name	118	90	88	2	30	0.9777777777777777	0.7457627118644068	0.8461538461538461	NA	NA
103	10x	Arriba	final+discarded;support>=1	expressed_TE_chimeric	assigned_host_gene_name	118	30	6	24	112	0.2	0.05084745762711865	0.08108108108108109	NA	NA
103	10x	ChimeraTE	overlap=0.10;fwd+rf_union;per_sample	expressed_TE_chimeric	assigned_host_gene_name	118	16	8	8	110	0.5	0.06779661016949153	0.11940298507462686	NA	NA
103	10x	FREDY	all_transcript_TE50_preCDS	expressed_TE50_unstranded	assigned_host_gene_name	157	290	153	137	4	0.5275862068965518	0.9745222929936306	0.6845637583892618	0	0
103	10x	LIONS	simuOptimal	expressed_5prime_exon_TE	assigned_host_gene_name	30	17	4	13	26	0.23529411764705882	0.13333333333333333	0.1702127659574468	NA	NA
