Seed	Tool	Depth	Predicted Genes	Truth Genes	TP	FP	FN	Precision	Recall	F1
106	FREDY	10x	257	145	138	119	7	0.5369649805447471	0.9517241379310344	0.6865671641791045
106	FREDY	25x	257	145	138	119	7	0.5369649805447471	0.9517241379310344	0.6865671641791045
106	FREDY	50x	258	145	139	119	6	0.5387596899224806	0.9586206896551724	0.6898263027295285
106	FREDY	100x	258	145	139	119	6	0.5387596899224806	0.9586206896551724	0.6898263027295285
106	LIONS	5x	6	24	2	4	22	0.3333333333333333	0.08333333333333333	0.13333333333333333
106	LIONS	10x	7	24	2	5	22	0.2857142857142857	0.08333333333333333	0.12903225806451613
106	LIONS	25x	7	24	2	5	22	0.2857142857142857	0.08333333333333333	0.12903225806451613
106	LIONS	50x	13	24	3	10	21	0.2307692307692308	0.125	0.16216216216216217
106	LIONS	100x	13	24	3	10	21	0.2307692307692308	0.125	0.16216216216216217
106	Arriba	5x	28	101	5	23	96	0.17857142857142858	0.04950495049504951	0.07751937984496124
106	Arriba	10x	37	101	10	27	91	0.2702702702702703	0.099009900990099	0.14492753623188406
106	Arriba	25x	55	101	13	42	88	0.23636363636363636	0.12871287128712872	0.16666666666666666
106	Arriba	50x	70	101	18	52	83	0.2571428571428571	0.1782178217821782	0.21052631578947367
106	Arriba	100x	107	101	23	84	78	0.21495327102803735	0.22772277227722773	0.22115384615384617
106	ChimeraTE	5x	12	101	3	9	98	0.25	0.0297029702970297	0.05309734513274336
106	ChimeraTE	10x	15	101	4	11	97	0.26666666666666666	0.0396039603960396	0.06896551724137931
106	ChimeraTE	25x	21	101	7	14	94	0.3333333333333333	0.06930693069306931	0.11475409836065574
106	ChimeraTE	50x	25	101	10	15	91	0.4	0.099009900990099	0.15873015873015872
106	ChimeraTE	100x	29	101	13	16	88	0.4482758620689655	0.12871287128712872	0.2
107	TEDDY	5x	79	131	79	0	52	1	0.6030534351145038	0.7523809523809524
107	TEDDY	10x	97	131	97	0	34	1	0.7404580152671756	0.8508771929824561
107	TEDDY	25x	117	131	117	0	14	1	0.8931297709923665	0.9435483870967742
107	TEDDY	50x	121	131	121	0	10	1	0.9236641221374046	0.9603174603174603
107	TEDDY	100x	127	131	127	0	4	1	0.9694656488549618	0.9844961240310076
107	TEProf2	5x	23	35	12	11	23	0.5217391304347826	0.34285714285714286	0.41379310344827586
107	TEProf2	10x	23	35	14	9	21	0.6086956521739131	0.4	0.4827586206896552
107	TEProf2	25x	25	35	13	12	22	0.52	0.37142857142857144	0.43333333333333335
107	TEProf2	50x	26	35	13	13	22	0.5	0.37142857142857144	0.4262295081967213
107	TEProf2	100x	27	35	14	13	21	0.5185185185185185	0.4	0.4516129032258064
107	FREDY	5x	301	160	153	148	7	0.5083056478405316	0.95625	0.6637744034707158
107	FREDY	10x	302	160	154	148	6	0.5099337748344371	0.9625	0.6666666666666666
107	FREDY	25x	304	160	156	148	4	0.5131578947368421	0.975	0.6724137931034483
107	FREDY	50x	304	160	156	148	4	0.5131578947368421	0.975	0.6724137931034483
107	FREDY	100x	304	160	156	148	4	0.5131578947368421	0.975	0.6724137931034483
107	LIONS	5x	15	35	8	7	27	0.5333333333333333	0.22857142857142856	0.32
107	LIONS	10x	17	35	7	10	28	0.4117647058823529	0.2	0.2692307692307692
107	LIONS	25x	15	35	6	9	29	0.4	0.17142857142857143	0.24
107	LIONS	50x	19	35	7	12	28	0.3684210526315789	0.2	0.25925925925925924
107	LIONS	100x	18	35	7	11	28	0.3888888888888889	0.2	0.2641509433962264
107	Arriba	5x	26	131	7	19	124	0.2692307692307692	0.05343511450381679	0.08917197452229299
107	Arriba	10x	41	131	10	31	121	0.24390243902439024	0.07633587786259542	0.11627906976744186
107	Arriba	25x	62	131	18	44	113	0.2903225806451613	0.13740458015267176	0.1865284974093264
107	Arriba	50x	90	131	23	67	108	0.25555555555555554	0.17557251908396945	0.2081447963800905
107	Arriba	100x	122	131	31	91	100	0.2540983606557377	0.2366412213740458	0.2450592885375494
107	ChimeraTE	5x	12	131	9	3	122	0.75	0.06870229007633588	0.1258741258741259
107	ChimeraTE	10x	15	131	10	5	121	0.6666666666666666	0.07633587786259542	0.136986301369863
107	ChimeraTE	25x	19	131	13	6	118	0.6842105263157895	0.09923664122137404	0.17333333333333334
107	ChimeraTE	50x	21	131	14	7	117	0.6666666666666666	0.1068702290076336	0.18421052631578944
107	ChimeraTE	100x	25	131	16	9	115	0.64	0.12213740458015268	0.20512820512820512
108	TEDDY	5x	78	116	78	0	38	1	0.6724137931034483	0.8041237113402062
108	TEDDY	10x	89	116	89	0	27	1	0.7672413793103449	0.8682926829268293
108	TEDDY	25x	99	116	99	0	17	1	0.853448275862069	0.9209302325581395
108	TEDDY	50x	108	116	108	0	8	1	0.9310344827586208	0.9642857142857144
108	TEDDY	100x	111	116	111	0	5	1	0.956896551724138	0.9779735682819384
108	TEProf2	5x	20	19	4	16	15	0.2	0.21052631578947367	0.20512820512820512
