transcript_id	gene_name	eval_type	n_pairs	n_reads_any	max_TE_cov_frac	max_host_cov_frac	max_pair_cov_frac	n_TE_host_junction_reads_10bp	TE_host_junction_support_10bp	n_TE_host_anchor75_reads	TE_host_anchor75_support
ENSMUST00000189514.1	6030407O03Rik	multi_exon	19	17721	1	1	1	2052	Yes	80	Yes
MSTRG.61793.1	Echdc3	multi_exon	16	23259	1	1	1	4791	Yes	1004	Yes
MSTRG.85821.3	RP24-152F23.2	multi_exon	20	10372	1	1	1	424	Yes	101	Yes
MSTRG.45695.1	Klhl6	multi_exon	18	135223	1	1	1	2036	Yes	43	Yes
MSTRG.56314.3	Aldh7a1	multi_exon	31	54	1	0.766716	0.711196	6	Yes	0	-
MSTRG.59010.6	Prune2	multi_exon	29	48790	1	1	0.9271	4481	Yes	43	Yes
MSTRG.7384.25	Ddr2	multi_exon	11	17997	1	1	1	2126	Yes	37	Yes
MSTRG.11793.1	Stox1	multi_exon	19	98545	1	1	1	16629	Yes	2072	Yes
MSTRG.11793.2	Stox1	multi_exon	4	17430	1	1	0.989848	42	Yes	4	Yes
MSTRG.58508.1	MSTRG.58508	single_exon	8	1199	1	1	0.995868	430	Yes	126	Yes
MSTRG.23404.1	Pum2	multi_exon	10	41192	1	1	0.825378	984	Yes	0	-
MSTRG.89530.11	Wdfy3	multi_exon	17	16133	1	1	1	2654	Yes	7	Yes
MSTRG.65036.24	Cwc22	multi_exon	1	487	1	1	1	9	Yes	2	Yes
MSTRG.120742.9	Sec22c	multi_exon	14	6531	1	1	1	1324	Yes	187	Yes
MSTRG.518.1	Ncoa2	multi_exon	13	167653	1	1	1	25508	Yes	722	Yes
MSTRG.65036.25	Cwc22	multi_exon	1	928	1	1	1	8	Yes	2	Yes
ENSMUST00000160182.1	Gm16239	multi_exon	1	1161	1	1	0.926335	232	Yes	3	Yes
MSTRG.35175.2	Psmd6	multi_exon	1	23787	1	1	0.755591	174	Yes	0	-
MSTRG.40145.2	Pdzd2	multi_exon	2	1321	1	1	1	20	Yes	6	Yes
MSTRG.122748.4	Gpc3	multi_exon	2	1809	1	1	1	512	Yes	44	Yes
MSTRG.96129.20	Ccser1	multi_exon	4	80000	1	1	1	35813	Yes	102	Yes
MSTRG.45276.1	MSTRG.45276	single_exon	69	334267	1	1	1	17933	Yes	8	Yes
MSTRG.96129.22	Ccser1	multi_exon	10	55897	1	1	1	8925	Yes	2658	Yes
MSTRG.24309.1	Gm9286	multi_exon	2	21577	1	1	1	103	Yes	8	Yes
MSTRG.76190.8	Papss1	multi_exon	5	5491	1	1	1	16	Yes	2	Yes
MSTRG.24257.10	2410018L13Rik	multi_exon	36	2923	1	1	1	135	Yes	9	Yes
ENSMUST00000200169.3	Chd8	multi_exon	21	5494	1	1	1	358	Yes	48	Yes
MSTRG.42545.1	4930571N24Rik	single_exon	28	239833	1	1	1	15626	Yes	19	Yes
MSTRG.98930.6	Rimklb	multi_exon	1	1722	1	1	1	670	Yes	314	Yes
MSTRG.45315.1	A630010A05Rik	single_exon	32	953361	1	1	0.634323	84430	Yes	0	-
MSTRG.98930.9	Rimklb	multi_exon	1	1722	1	1	1	670	Yes	314	Yes
MSTRG.7332.3	Lmx1a	multi_exon	13	470749	1	1	1	110903	Yes	14403	Yes
MSTRG.7332.4	Lmx1a	multi_exon	1	33346	1	1	0.997938	10	Yes	1	Yes
MSTRG.73258.2	Gm6634	multi_exon	1	16994	1	1	0.854369	77	Yes	1	Yes
MSTRG.3090.7	Gm29183	multi_exon	13	59430	1	1	1	9589	Yes	1147	Yes
MSTRG.11225.1	Mcm9	multi_exon	10	87958	1	1	1	20840	Yes	6417	Yes
MSTRG.35762.9	Duxbl3	multi_exon	2	1045	1	1	1	239	Yes	20	Yes
MSTRG.47207.4	Gm15518	multi_exon	1	779	1	1	0.780597	44	Yes	0	-
MSTRG.11225.2	Mcm9	multi_exon	22	255872	1	1	1	369	Yes	40	Yes
MSTRG.11225.3	Mcm9	multi_exon	22	255872	1	1	1	369	Yes	40	Yes
MSTRG.34768.12	Gm21761	multi_exon	11	56348	1	1	1	5604	Yes	566	Yes
MSTRG.57145.14	Dym	multi_exon	7	1568	0.276442	1	0.865546	0	-	0	-
MSTRG.106180.4	Ric3	multi_exon	14	287262	1	1	1	56963	Yes	4058	Yes
MSTRG.43844.2	Scaf11	multi_exon	7	168852	1	1	0.866667	49874	Yes	0	-
MSTRG.122877.1	Gm22103	multi_exon	1	4400	1	0.247591	0.24225	0	-	0	-
ENSMUST00000110152.2	Gm8300	multi_exon	5	31969	1	1	1	10470	Yes	5897	Yes
MSTRG.71599.1	Exosc9	multi_exon	20	3121	1	1	1	114	Yes	19	Yes
MSTRG.106180.7	Ric3	multi_exon	20	2456	1	1	1	189	Yes	13	Yes
MSTRG.36370.1	Gm25208	multi_exon	1	9927	1	0.772007	0.718054	312	Yes	0	-
MSTRG.36370.3	Gm25208	multi_exon	1	9946	1	0.676265	0.6556	71	Yes	0	-
MSTRG.31427.1	Gm8674	multi_exon	8	577	1	1	1	47	Yes	2	Yes
MSTRG.31427.2	Gm8674	multi_exon	13	156389	1	1	1	22287	Yes	2988	Yes
ENSMUST00000204055.1	RP24-108G5.4	single_exon	4	839	1	1	1	239	Yes	87	Yes
MSTRG.24941.2	Hdac9	multi_exon	16	95205	1	1	1	16694	Yes	653	Yes
MSTRG.100901.1	MSTRG.100901	single_exon	7	125032	1	1	0.944894	257	Yes	0	-
MSTRG.35960.1	1700087M22Rik	multi_exon	20	491408	1	1	1	88111	Yes	9076	Yes
MSTRG.27340.1	Gm2022	multi_exon	5	105149	1	1	1	38470	Yes	31176	Yes
MSTRG.21816.4	Nsf	multi_exon	23	18169	1	1	1	1714	Yes	212	Yes
MSTRG.17581.1	Dppa1	multi_exon	3	814	1	1	1	366	Yes	12	Yes
MSTRG.51184.1	Esp24	multi_exon	1	218	1	1	1	175	Yes	6	Yes
MSTRG.27340.7	Gm2022	multi_exon	11	104188	1	1	1	31955	Yes	8118	Yes
MSTRG.28893.10	Abcb5	multi_exon	1	644	1	1	0.807606	99	Yes	0	-
MSTRG.64535.9	Cers6	multi_exon	10	54884	1	1	1	7687	Yes	2039	Yes
MSTRG.29688.1	Pou6f2	multi_exon	52	411926	1	1	0.952724	17615	Yes	1	Yes
MSTRG.66935.1	Fgf7	multi_exon	17	226395	1	1	1	44623	Yes	2534	Yes
MSTRG.97232.1	2310040G24Rik	multi_exon	7	7084	1	1	1	338	Yes	13	Yes
MSTRG.97232.3	2310040G24Rik	multi_exon	16	14284	1	1	1	1181	Yes	367	Yes
MSTRG.21899.32	Gm11640	multi_exon	14	144065	1	1	1	26219	Yes	423	Yes
MSTRG.67630.4	Sel1l2	multi_exon	13	238157	1	1	1	46928	Yes	1608	Yes
MSTRG.67630.5	Sel1l2	multi_exon	1	21156	1	0.607649	0.567443	6	Yes	0	-
ENSMUST00000110149.1	BB287469	multi_exon	5	107611	1	1	1	61531	Yes	32060	Yes
MSTRG.88242.1	RP23-332O18.2	multi_exon	37	398413	1	1	1	48379	Yes	23	Yes
MSTRG.115412.1	Fbxl12	multi_exon	28	135088	1	1	1	9614	Yes	560	Yes
MSTRG.34571.18	Arl15	multi_exon	14	151108	1	1	1	25051	Yes	5439	Yes
MSTRG.87809.1	Arap2	multi_exon	16	66834	1	1	1	11585	Yes	1355	Yes
MSTRG.85835.10	Speer4d	multi_exon	11	17440	1	1	1	1933	Yes	79	Yes
MSTRG.44232.17	Tfcp2	multi_exon	1	7363	1	1	0.745394	153	Yes	0	-
ENSMUST00000180168.1	Gm7102	single_exon	4	62741	1	1	1	30349	Yes	535	Yes
MSTRG.111920.15	Inpp4b	multi_exon	12	4	0	1	0.491228	0	-	0	-
MSTRG.56958.1	Dcc	multi_exon	10	43837	1	1	1	9734	Yes	7058	Yes
MSTRG.115383.1	Zfp560	multi_exon	14	295309	1	1	1	48424	Yes	1181	Yes
MSTRG.56958.2	Dcc	multi_exon	1	22320	1	1	0.743268	15	Yes	0	-
MSTRG.25016.1	Meox2	multi_exon	19	156759	1	1	0.847857	15665	Yes	2	Yes
MSTRG.115383.4	Zfp560	multi_exon	2	36671	1	1	1	8	Yes	2	Yes
MSTRG.88041.19	Limch1	multi_exon	11	37739	1	1	1	5114	Yes	75	Yes
MSTRG.115383.7	Zfp560	multi_exon	17	334915	1	1	1	49390	Yes	364	Yes
MSTRG.11181.1	Dcbld1	multi_exon	1	30647	1	1	0.667188	1	Yes	0	-
MSTRG.78899.6	4930578G10Rik	multi_exon	1	1828	1	0.503063	0.470027	509	Yes	0	-
ENSMUST00000178510.1	Tcstv1	single_exon	3	16757	1	1	1	2627	Yes	225	Yes
MSTRG.71544.1	Atp11b	multi_exon	4	116849	1	1	0.98556	54245	Yes	1	Yes
MSTRG.11181.2	Dcbld1	multi_exon	13	355765	1	1	1	73032	Yes	3445	Yes
MSTRG.126733.5	Sh3kbp1	multi_exon	1	21521	1	1	0.723776	4	Yes	0	-
MSTRG.126733.6	Sh3kbp1	multi_exon	13	239013	1	1	1	58537	Yes	5085	Yes
MSTRG.11181.4	Dcbld1	multi_exon	10	48181	1	1	1	11600	Yes	3475	Yes
ENSMUST00000181313.1	Gm21936	multi_exon	5	63475	1	1	1	31570	Yes	19137	Yes
MSTRG.74354.2	Setdb1	multi_exon	61	91789	1	1	1	3185	Yes	26	Yes
MSTRG.81439.1	Gm12723	multi_exon	1	781	1	1	1	160	Yes	2	Yes
MSTRG.123579.1	Gm4989	multi_exon	16	397708	1	1	1	63623	Yes	1108	Yes
